   * Generated on 2025-Aug-16 17:06 CEST  .
%TABLE{columnwidths="5%,65%,5%,5%,5%,15%"}%
|*Group*|*Title*|*System*|*arXiv*|*Inspire*|*Journal*|*N*|
|UD|Coherent $ρ^0$ photoproduction in ultra-peripheral Pb-Pb collisions at $\mathbf{\sqrt{\textit{s}_{\rm NN}}} = 2.76$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1503.09177v2][1503.09177]]|[[https://inspirehep.net/literature/1357206][1357206]]|%GREEN%[[https://doi.org/10.1007/JHEP09(2015)095][JHEP 09]]%ENDCOLOR%|30|
|JE|Measurement of dijet $k_{\rm T}$ in p-Pb collisions at ${\sqrt{s_{\rm NN}}=5.02}$ !TeV|%BLUE%pPb%ENDCOLOR%|[[http://arxiv.org/abs/1503.03050v3][1503.03050]]|[[https://inspirehep.net/literature/1351451][1351451]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2015.05.033][Phys. Lett. B 746]]%ENDCOLOR%|29|
|JE|Measurement of jet suppression in central Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1502.01689v2][1502.01689]]|[[https://inspirehep.net/literature/1343112][1343112]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2015.04.039][Phys. Lett. B 746]]%ENDCOLOR%|28|
|JE|Charged jet cross sections and properties in proton-proton collisions at $\sqrt{s}=7$ !TeV|pp|[[http://arxiv.org/abs/1411.4969v2][1411.4969]]|[[https://inspirehep.net/literature/1328629][1328629]]|%GREEN%[[https://doi.org/10.1103/PhysRevD.91.112012][Phys. Rev. D 91]]%ENDCOLOR%|27|
|CF|Multi-particle azimuthal correlations in p-Pb and Pb-Pb collisions at the CERN Large Hadron Collider|%BLUE%pPb%ENDCOLOR%,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1406.2474v2][1406.2474]]|[[https://inspirehep.net/literature/1300038][1300038]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.90.054901][Phys. Rev. C 90]]%ENDCOLOR%|26|
|HF|Beauty production in pp collisions at $\sqrt{s}$ = 2.76 !TeV measured via semi-electronic decays|pp|[[http://arxiv.org/abs/1405.4144v2][1405.4144]]|[[https://inspirehep.net/literature/1296861][1296861]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2014.09.026][Phys. Lett. B 738]]%ENDCOLOR%|25|
|CF|Freeze-out radii extracted from three-pion cumulants in pp, p-Pb and Pb-Pb collisions at the LHC|pp,%BLUE%pPb%ENDCOLOR%,%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1404.1194v3][1404.1194]]|[[https://inspirehep.net/literature/1288705][1288705]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2014.10.034][Phys. Lett. B 739]]%ENDCOLOR%|24|
|LF|K*(892)$^{0}$ and $Φ$(1020) production in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1404.0495v3][1404.0495]]|[[https://inspirehep.net/literature/1288320][1288320]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.91.024609][Phys. Rev. C 91]]%ENDCOLOR%|23|
|PP|Performance of the ALICE Experiment at the CERN LHC|n/a|[[http://arxiv.org/abs/1402.4476v4][1402.4476]]|[[https://inspirehep.net/literature/1281831][1281831]]|%GREEN%[[https://doi.org/10.1142/S0217751X14300440][Int. J. Mod. Phys. A 29]]%ENDCOLOR%|22|
|CF|Two and Three-Pion Quantum Statistics Correlations in Pb-Pb Collisions at $\sqrt{s_{\rm NN}}=2.76$ !TeV at the LHC|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1310.7808v4][1310.7808]]|[[https://inspirehep.net/literature/1262523][1262523]]|%GREEN%[[https://doi.org/10.1103/PhysRevC.89.024911][Phys. Rev. C 89]]%ENDCOLOR%|21|
|CF|Directed flow of charged particles at mid-rapidity relative to the spectator plane in Pb-Pb collisions at $\sqrt{s_\rm{NN}}$=2.76 !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1306.4145v4][1306.4145]]|[[https://inspirehep.net/literature/1238980][1238980]]|%GREEN%[[https://doi.org/10.1103/PhysRevLett.111.232302][Phys. Rev. Lett. 111]]%ENDCOLOR%|20|
|CF|Charge correlations using the balance function in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 2.76$ !TeV|%RED%PbPb%ENDCOLOR%|[[http://arxiv.org/abs/1301.3756v3][1301.3756]]|[[https://inspirehep.net/literature/1211186][1211186]]|%GREEN%[[https://doi.org/10.1016/j.physletb.2013.05.039][Phys. Lett. B 723]]%ENDCOLOR%|19|
