Group,Title,System,arXivLink,arXivAbs,InspireLink,DatePublishedArxiv,Journal,N
JE,Measurements of the groomed and ungroomed jet angularities in pp collisions at $\sqrt{s} = 5.02$ TeV,pp,http://arxiv.org/abs/2107.11303v1,2107.11303,-,2021-07-23,Submitted,341
CF,Polarization of $Λ$ and $\overlineΛ$ hyperons along the beam direction in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/2107.11183v1,2107.11183,-,2021-07-23,Submitted,340
MM,Measurement of very forward energy and particle production at midrapidity in pp and p-Pb collisions at the LHC,"pp,pPb",http://arxiv.org/abs/2107.10757v1,2107.10757,-,2021-07-22,Submitted,339
LF,Hypertriton production in p-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,pPb,http://arxiv.org/abs/2107.10627v1,2107.10627,-,2021-07-22,Submitted,338
CF,Anisotropic flow of identified hadrons in Xe-Xe collisions at $\sqrt{s_{\rm NN}}$ = 5.44TeV,XeXe,http://arxiv.org/abs/2107.10592v2,2107.10592,-,2021-07-22,Submitted,337
LF,Production of K$^{*}(892)^{0}$ and $φ(1020)$ in pp and Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,"pp,PbPb",http://arxiv.org/abs/2106.13113v1,2106.13113,-,2021-06-24,Submitted,336
HF,"Measurement of prompt D$^{0}$, $Λ_{c}^{+}$, and $Σ_{c}^{0,++}$(2455) production in pp collisions at $\sqrt{s} = 13$ TeV",pp,http://arxiv.org/abs/2106.08278v2,2106.08278,-,2021-06-07,Submitted,335
JE,Direct observation of the dead-cone effect in QCD,pp,http://arxiv.org/abs/2106.05713v1,2106.05713,-,2021-06-10,Submitted,334
HF,Charm-quark fragmentation fractions and production cross section at midrapidity in pp collisions at the LHC,pp,http://arxiv.org/abs/2105.06335v2,2105.06335,-,2021-05-13,Submitted,333
LF,Measurement of K$^{*}$(892)$^{\mathrm{\pm}}$ production in inelastic pp collisions at the LHC,pp,http://arxiv.org/abs/2105.05760v2,2105.05760,-,2021-05-12,Submitted,332
CF,Charged-particle multiplicity fluctuations in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/2105.05745v2,2105.05745,-,2021-05-12,Submitted,331
CF,Kaon-proton strong interaction at low relative momentum via femtoscopy in Pb-Pb collisions at the LHC,PbPb,http://arxiv.org/abs/2105.05683v2,2105.05683,-,2021-05-12,Submitted,330
HF,Measurement of the production cross section of prompt $Ξ^0_{\rm c}$ baryons at midrapidity in pp collisions at $\sqrt{s}$ = 5.02 TeV,pp,http://arxiv.org/abs/2105.05616v2,2105.05616,-,2021-05-12,Submitted,329
CF,Experimental evidence for an attractive p-$φ$ interaction,pp,http://arxiv.org/abs/2105.05578v2,2105.05578,-,2021-05-12,Submitted,328
CF,Investigating the role of strangeness in baryon$-$antibaryon annihilation at the LHC,pp,http://arxiv.org/abs/2105.05190v1,2105.05190,-,2021-05-11,Submitted,327
